# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
0 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.35411e-40 0 0 
9.97664 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.84068e-21 0 0 
19.8873 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.66918e-21 0 0 
29.7324 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.48559e-21 0 0 
39.5124 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 7.28998e-21 0 0 
49.2277 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 9.08244e-21 0 0 
58.8787 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.0863e-20 0 0 
68.4659 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.26319e-20 0 0 
77.9897 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.4389e-20 0 0 
87.4504 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.61345e-20 0 0 
96.8487 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.78684e-20 0 0 
106.185 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 1.95909e-20 0 0 
115.459 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.1302e-20 0 0 
124.672 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.30018e-20 0 0 
133.824 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.46903e-20 0 0 
142.915 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.63677e-20 0 0 
151.947 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.8034e-20 0 0 
160.918 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 2.96892e-20 0 0 
169.831 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.13335e-20 0 0 
178.684 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.29669e-20 0 0 
187.479 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.45895e-20 0 0 
196.215 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.62014e-20 0 0 
204.894 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.78026e-20 0 0 
213.515 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 3.93933e-20 0 0 
222.08 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.09734e-20 0 0 
230.587 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.2543e-20 0 0 
239.039 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.41023e-20 0 0 
247.434 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.56513e-20 0 0 
255.774 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.719e-20 0 0 
264.059 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 4.87185e-20 0 0 
272.289 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.0237e-20 0 0 
280.465 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.17453e-20 0 0 
288.586 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.32438e-20 0 0 
296.654 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.47322e-20 0 0 
304.668 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.62109e-20 0 0 
312.63 1.84499e-13 0 0 0 0 0 7.35411e-11 1.91879e-11 1.91879e-11 0 1.31094e-27 0 5.76798e-20 0 0 
